
       15 May 2016
CFEPS  Correspondence list 

This file is not intended to be a readable table, but rather a searchable
file to find the linkages between a CFEPS designation and the IAU Minor
Planet Center designations (which include both temporary, packed temporary,
and perhaps numbered or named designations

L3y11	K01XP5H	(131697) 2001 XH255
L4h14	K04H79M	2004 HM79
L3s06	K03SV7S	(143685) 2003 SS317
L5c23	K05C81F	2005 CF81
L7a10	K05GM8H	2005 GH228
L4k11	K04K19C	2004 KC19
L4h15	K04H79B	2004 HB79
L5c11	K05C81D	2005 CD81
L4h06	K04H78Y	2004 HY78
L4v18	K04VD0Y	2004 VY130
L4m02	K04M08S	2004 MS8
L3s02	K03SV7O	2003 SO317
L4h09PD	K00GH1N	(47932) 2000 GN171
L3h19	K03H57F	2003 HF57
L3w07	K03T58H	2003 TH58
L4h07	K04H79A	2004 HA79
L3h11	K03H57A	2003 HA57
L3w01	K05TI9V	2005 TV189
L4j11	K04H78X	2004 HX78
L4v09	K04VD0X	2004 VX130
L3h14	K03H57D	2003 HD57
L3s05	K03SV7R	2003 SR317
L4v13	K04VD0V	2004 VV130
L4k01	K04K19B	2004 KB19
L3h01	K04FG4W	2004 FW164
L5i06PD	K01K77Q	2001 KQ77
L4h10PD	J95H05M	1995 HM5
L4v12	K04VD0Z	2004 VZ130
L4h08	K04H78Z	2004 HZ78
L5c08	K06C69J	2006 CJ69
L3y06	K03YH9W	2003 YW179
L5c13PD	J99CD1X	1999 CX131
L4v05	K04VD1E	2004 VE131
L3y12PD	K01YE0H	(126154) 2001 YH140
L4k10	K04K19K	2004 KK19
L3q08PD	K02PH1B	(135742) 2002 PB171
L4n03	K04O15Q	2004 OQ15
L3w03	K03YH9J	2003 YJ179
L4v10	K04VD1F	2004 VF131
K02O03	K00O67P	2000 OP67
L4h11	K04H79N	2004 HN79
L4h18	K04H79P	2004 HP79
L4k16	K04K19L	2004 KL19
L4k20	K04K19M	2004 KM19
K02O12	K02PH0U	2002 PU170
L4v06	K04V78K	2004 VK78
L3y07	K01XP4T	(131696) 2001 XT254
L5c19PD	K02CO8Z	2002 CZ248
L5c12	K02CM4Y	2002 CY224
L4j08	K04H79O	2004 HO79
L3f04PD	K00F08E	(60621) 2000 FE8
L4j06PD	K02G32P	2002 GP32
L4k14	K04K18Z	2004 KZ18
L4h02PD	K04E96G	2004 EG96
L4v08	K04VD0U	2004 VU130
L3y02	K03YH9Q	2003 YQ179
L3y14PD	K01XP4S	(131695) 2001 XS254
L4q12PD	K00O51B	2000 OB51
L4q10	J99O04J	1999 OJ4
L4k18	K04K19D	2004 KD19
L4o01	K04O15P	2004 OP15
L3w06	K03YH9L	2003 YL179
L4k12	K04K19H	2004 KH19
L4q05	K04Q29E	2004 QE29
L4k19	K05JI6B	2005 JB186
L3w05	K03YH9K	2003 YK179
L4h16	K04H79L	2004 HL79
L5s01PD	K04S60B	(120347) 2004 SB60
L3s01	K03SV7N	2003 SN317
L4q15	J99O04N	1999 ON4
L3h05	K03H56Y	2003 HY56
L3q02PD	K01QT8B	2001 QB298
L3s03	K03SV7Q	2003 SQ317
K02O20	K02PH0V	2002 PV170
K02P32	K02PH0X	2002 PX170
L5c03	K05C81E	2005 CE81
L5i01	K06HC3A	2006 HA123
L4p02	K04PB7U	2004 PU117
L4p01	K04PB7T	2004 PT117
